Study,Year,Data source,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Deftereos 2020,2020,PUB,,,,,
Horby 2021,,PUB,,,,,
Lopes 2021,,PUB,,,,,
Tardif 2021,,PUB,,,,,
