Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Bounfrate 2021,2021,PUB,19984023,"<ul><li>Trial design: triple-blind RCT with 3 parallel arms, the 2 intervention arms were pooled for this review</li><li>Type of publication: pre-proof journal publication</li><li>Setting: outpatient</li><li>Recruitment dates: July 2020 to May 2021</li><li>Country: Italy</li><li>Language: English</li><li>Number of centres: 4</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04438850</li><li>Date of registration: 19 June 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 93/89</li><li>Age (median): overall 47 years</li><li>Males, n: overall 54 (58%)</li><li>Severity of condition according to study definition: mild disease, defined as not requiring hospitalization or oxygen supplementation</li><li>Severity of condition according to WHO scale: 1 to 3 </li><li>Time from symptom onset to enrolment (median): overall 4 (IQR 3 to 5.5) days</li><li>Comorbidities: any pre-existing condition, obesity, diabetes, cardiovascular disease, respiratory disease</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR (100%)</li><li>Vaccination status: overall 91 (98%) participants without any vaccination</li><li>Inclusion criteria: age ≥ 18 years; positivity for SARS-CoV-2 (nasopharyngeal swabs) by RT-PCR; consent to participating in the study and to the processing of personal data; COVID-19 Severity Score &lt; 3; participant able to take oral drugs</li><li>Exclusion criteria: pregnant or lactating women (pregnancy test not required, if doubt person is excluded); people with known central nervous system disease; lack of (or inability to provide) informed consent; receiving dialysis; any severe medical condition with a prognosis of &lt; 6 months; receiving warfarin treatment; receiving antiviral treatment; receiving chloroquine phosphate or hydroxychloroquine</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 0.6 mg/kg and 1.2 mg/kg (pooled), once daily for 5 days</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>Placebo </li></ul><li>Concomitant therapy: NA</li><li>Duration of follow-up: 30 days</li><li>Treatment cross-overs: none</li></ul>","<ul><li>Primary study outcome</li><ul><li>Number of serious adverse drug reaction within 14 days</li><li>Viral load at 7 days</li></ul><li>Relevant review outcomes reported</li><ul><li>Symptom resolution at 14 and 30 days</li><li>Hospitalization rate within 30 days</li><li>Mortality rate at 30 days (outcome provided by study author via personal communication)</li><li>Proportion of participants with virological clearance at 14 days (detailed data provided by study author via personal communication)</li><li>Serious adverse events within 30 days (outcome provided by study author via personal communication)</li><li>Any adverse events within 30 days (number of participants with any adverse event provided by study author via personal communication)</li></ul><li>Additional study outcomes reported</li><ul><li>Trend over time of quantitative viral load at 7, 14 and 30 days measured by quantitative, digital droplet PCR </li><li>Time to clinical resolution (for symptomatic participants) within 14 and 30 days </li><li>Proportion of participants with virological clearance at day 30 </li><li>COVID-19 Severity Score at 14 and 30 days</li></ul></ul>","<ul><li>Date of pre-proof publication: 22 December 2021</li><li>Sponsor/funding: Italian Ministry of Health and Insud Pharma</li><li>Correspondence with the author team: author request sent (review relevant outcome data, number of analysed participants); response received from author</li><li>Information on ethics votum: ethics committee approval number reported by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations</li></ul>"
Chaccour 2021,2021,PUB,17770997,"<ul><li>Trial design: double-blind RCT with 2 parallel arms</li><li>Type of publication: journal publication</li><li>Setting: outpatient</li><li>Recruitment dates: July to September 2020</li><li>Country: Spain</li><li>Language: English</li><li>Number of centres: 1</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04390022</li><li>Date of registration: 15 May 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 24/24</li><li>Age (median): overall 28 years</li><li>Males, n: overall 12 (50%)</li><li>Severity of condition according to study definition: outpatients with non-severe symptoms</li><li>Severity of condition according to WHO scale: 2 to 3</li><li>Time from symptom onset to enrolment (median): intervention 1 (IQR 1 to 2) day, control 2 (IQR 1.5 to 2) days</li><li>Comorbidities: existing comorbidity was specified as exclusion criterion.</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR (100%)</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Inclusion criteria: consecutive outpatients attending the emergency department of the Clinica Universidad de Navarra (Pamplona, Spain) with symptoms compatible with COVID-19; no more than 72 hours of fever or cough; positive PCR for SARS-CoV-2</li><li>Exclusion criteria: positive IgG against SARS-CoV-2; comorbidities considered risk factors for severe disease or COVID-19 pneumonia at baseline</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 0.4 mg/kg, single dose</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>Placebo</li></ul><li>Concomitant therapy: NA</li><li>Duration of follow-up: 28 days</li><li>Treatment cross-overs: none</li></ul>","<ul><li>Primary study outcome</li><ul><li>Proportion of patients with a positive SARS-CoV-2 PCR at 7 days</li></ul><li>Relevant review outcomes reported</li><ul><li>Mortality at 28 days</li><li>Viral clearance (RT-PCR, E-gene) at 7 days</li><li>Adverse events within 28 days</li><li>Serious adverse events within 28 days</li></ul><li>Additional study outcomes reported</li><ul><li>Viral load evolution within 21 days</li><li>Viral clearance (RT-PCR, N-gene) at 7 days</li><li>Patient-days of any symptoms, cough, and ansomia</li><li>IgG-titres at 21 days</li></ul></ul>","<ul><li>Date of publication: 23 February 2021</li><li>Sponsor/funding: departmental resources</li><li>Additional results posted in registry</li><li>Information on ethics votum: ethics committee approval by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations: approval number not reported, but approval letter provided by study author via personal communication</li></ul>"
Gonzalez 2021,2021,PUB,17771006,"<ul><li>Trial design: double-blind RCT with 3 parallel arms, only 2 arms relevant; the third arm investigated hydroxychloroquine</li><li>Type of publication: preprint</li><li>Setting: inpatient</li><li>Recruitment dates: May to August 2020</li><li>Country: Mexico</li><li>Language: English</li><li>Number of centres: 1</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04391127</li><li>Date of registration: 18 May 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 108/106 (relevant arms: NR/73s</li><li>Age (mean): overall 54 (SD 16.9) years</li><li>Males, n: overall 66 (62%)</li><li>Severity of condition according to study definition: hospitalized, with need for supplemental oxygen, but not high flow oxygen high flow oxygen</li><li>Severity of condition according to WHO scale: 5</li><li>Time from symptom onset to enrolment: NR</li><li>Comorbidities: any pre-existing condition, diabetes, hypertension, respiratory disease</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR (100%)</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Inclusion criteria: positive RT-PCR for SARS-CoV-2 by nasal and oropharyngeal swabbing; pneumonia, diagnosed by X-ray or high-resolution chest CT scan, with a pattern suggesting involvement due to coronavirus; recently established hypoxaemic respiratory failure or acute clinical deterioration of pre-existing lung or heart disease</li><li>Exclusion criteria: requirement of high oxygen volumes (face mask &gt; 10 L/minute); predictors of a poor response to high-flow oxygen nasal prong therapy or requirement mechanical ventilation</li></ul>","<ul><li>Details of intervention for relevant arms</li><ul><li>Type and dose: ivermectin 12 mg to 18 mg (weight-adjusted), once daily for 5 days</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>Placebo</li></ul><li>Concomitant therapy: standard of care including dexamethasone, thromboprophylaxis and antibiotics administered in both study arms</li><li>Duration of follow-up: 28 days</li><li>Treatment cross-overs: none</li></ul>",<ul><li>Primary study outcome</li><ul><li>Hospitalization duration until discharge due to clinical improvement</li><li>Total duration of hospitalization</li><li>Duration of hospitalization until respiratory deterioration or death</li></ul><li>Relevant review outcomes reported</li><ul><li>Mortality at 28 days</li><li>Improvement of clinical status – patients discharged without respiratory deterioration or death at 28 days (outcome provided by study author via personal communication)</li><li>Worsening of clinical status – need for invasive mechanical ventilation or death at 28 days (outcome provided by study author via personal communication)</li></ul><li>Additional study outcomes reported</li><ul><li>None</li></ul></ul>,"<ul><li>Date of publication: 23 February 2021</li><li>Sponsor/funding: departmental resources</li><li>Correspondence with the author team: author request sent (publication status, proportion of participants with confirmed SARS-CoV-2 infection (RT-PCR) at baseline, patient status at baseline, randomization method, review relevant outcome data); response received from author</li><li>Information on ethics votum: ethics committee approval number reported by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations</li></ul>"
I-TECH 2022,2022,MIX,20623751,"<ul><li>Trial design: open-label RCT with 2 parallel arms</li><li>Type of publication: journal publication</li><li>Setting: outpatient<b> </b></li><li>Recruitment dates: May to October 2021</li><li>Country: Malaysia</li><li>Language: English</li><li>Number of centres: 21</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04920942</li><li>Date of registration: 10 June 2021</li></ul>","<ul><li>Number of participants (randomized/analysed): 500/490</li><li>Age (mean): overall 63 years</li><li>Males, n: overall 264 (58%)</li><li>Severity of condition according to study definition: the study author stated, that the majority of participants were ambulatory and well during admission, hospitalization mostly for isolation and close monitoring only in case of high risk of disease progression (based on public health policy at the time of study). </li><li>Severity of condition according to WHO scale: 2 to 4, but accounting for an outpatient population (WHO 2 to 3) based on the study author's statement.</li><li>Time from symptom onset to enrolment (mean): overall 5 (SD 1.3) days</li><li>Comorbidities: at least one pre-existing condition, obesity, diabetes, hypertension, respiratory disease</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR or RAT (100%)</li><li>Vaccination status: overall 159 (32%) participants without any vaccination</li><li>Inclusion criteria: ≥ 1 comorbidity; aged ≥ 50 years; confirmed SARS-CoV-2 by RT-PCR or antigen detection; beginning of symptoms in the past 7 days; mild to moderate disease; informed consent</li><li>Exclusion criteria: asymptomatic SARS-CoV-2 infection; need for supplemental oxygen or pulse oximetry oxygen saturation (SpO<sub>2</sub>) level &lt; 95% at rest; severe hepatic impairment (ALT level &gt; 10 times of upper normal limit); acute medical or surgical emergency; concomitant viral infection; pregnancy or breastfeeding; warfarin therapy; history of taking ivermectin or any antiviral drugs with reported activity against COVID-19 (favipiravir, hydroxychloroquine, lopinavir, and remdesivir) in the past 7 days before enrolment.</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 0.4 mg/kg (rounded to the nearest 6 mg or 12 mg whole tablets), once daily for 5 days</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>No treatment except standard of care</li></ul><li>Concomitant therapy: standard of care (only symptomatic therapy) administered in both study arms</li><li>Duration of follow-up: 28 days</li><li>Treatment cross-overs: none</li></ul>","<ul><li>Primary study outcome</li><ul><li>Proportion of patients with progression to severe COVID-19 disease, defined as hypoxic stage requiring supplemental oxygen to maintain SpO2 ≥ 95%</li></ul><li>Relevant review outcomes reported</li><ul><li> All-cause mortality at 28 days</li><li>Clinical worsening - ICU admission or death at 28 days</li><li>Adverse events at 28 days (outcome provided by study author via personal communication upon request)</li><li>Serious adverse events at 28 days (outcome provided by study author via personal communication upon request)</li></ul><li>Additional study outcomes reported</li><ul><li>Time of progression to severe disease</li><li>Length of hospital stay after study enrolment</li><li>Clinical worsening - rate of mechanical ventilation at 28 days</li><li>Symptom resolution at 5 days</li></ul></ul>","<ul><li>Date of publication: 18 February 2022</li><li>Sponsor/funding: Ministry of Health Malaysia</li><li>Correspondence with the author team: initially author provided unpublished study data without request, in the meantime results are already published as journal article; author request sent regarding further review relevant outcome data as indicated above; response received from author</li><li>Information on ethics votum: ethics committee approval number reported by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations</li></ul>"
Kirti 2021,2021,PUB,17771009,"<ul><li>Trial design: double-blind RCT with 2 parallel arms</li><li>Type of publication: journal publication</li><li>Setting: inpatient</li><li>Recruitment dates: August to October 2020</li><li>Country: India</li><li>Language: English</li><li>Number of centres: 1</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: CTRI/2020/08/027225</li><li>Date of registration: 18 August 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 115/112</li><li>Age (mean): overall 53 (SD 14.7) years</li><li>Males, n: overall 81 (72%)</li><li>Severity of condition according to study definition: hospitalized, with mild-to-moderate symptoms, and without admission to ICU</li><li>Severity of condition according to WHO scale: 4 to 5</li><li>Time from symptom onset to enrolment (mean): overall 6.9 (SD 6.6) days</li><li>Comorbidities: diabetes, hypertension, respiratory disease</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR or RAT (100%)</li><li>Inclusion criteria: RT-PCR positive or RAT positive; mild-to-moderate COVID-19; aged &gt; 18 years</li><li>Exclusion criteria: known allergy to or adverse drug reaction with ivermectin; unwillingness or inability to provide consent to participation; prior use of ivermectin during the course of this illness; pregnancy, lactation</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 12 mg, once daily for 2 days</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>Placebo</li></ul><li>Concomitant therapy: standard of care including hydroxychloroquine, chloroquine, steroids, enoxaparin, antibiotics, remdesivir, convalescent plasma, tocilizumab administered to both study arms</li><li>Duration of follow-up: 28 days</li><li>Treatment cross-overs: none</li></ul>",<ul><li>Primary study outcome</li><ul><li>RT-PCR negativity at 6 days</li></ul><li>Relevant review outcomes reported</li><ul><li>RT-PCR negativity at 6 days</li><li>Mortality at 28 days (details on time point provided by study author via personal communication)</li></ul><li>Additional study outcomes reported</li><ul><li>Discharged at 10 days</li><li>Worsening of clinical status – need for invasive mechanical ventilation/need for ICU admission at 28 days (outcome combined with mortality not provided by study author upon request via personal communication)</li><li>ICU admission within 28 days (outcome combined with mortality not provided by study author upon request via personal communication)</li><li>Symptom resolution at 6 days</li></ul></ul>,"<ul><li>Date of publication: 15 July 2021</li><li>Sponsor/funding: Sun Pharma Pvt Ldt and AIIMS, Patna administration</li><li>Correspondence with the author team: author request sent (ethics approval number, publication status, review relevant outcome data); only partial response received from author</li><li>Information on ethics votum: ethics committee approval by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations: approval number not reported, but provided by study author via personal communication</li></ul>"
Krolewiecki 2021,2021,PUB,19984032,"<ul><li>Trial design: open-label RCT with 2 parallel arms</li><li>Type of publication: journal publication</li><li>Setting: inpatient</li><li>Recruitment dates: May to September 2020</li><li>Country: Argentina</li><li>Language: English</li><li>Number of centres: 4</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04381884</li><li>Date of registration: 11 May 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 45/45</li><li>Age (mean): overall 41 (SD 12.48) years</li><li>Males, n: overall 25 (56%)</li><li>Severity of condition according to study definition: hospitalized, with mild-to-moderate disease</li><li>Severity of condition according to WHO scale: 4 to 5</li><li>Time from symptom onset to enrolment (mean): overall mean 3.55 days</li><li>Comorbidities: obesity, diabetes, hypertension, respiratory disease</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR (100%)</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Inclusion criteria: men or women; aged 18–69 years; SARS-CoV-2 confirmed by PCR; hospitalized people with symptoms onset 5 days before executing the informed consent; no comorbidities affecting the patient's prognosis, rendering them at high risk; documented acceptance to participate by means of execution of informed consent; women of childbearing age must have a negative pregnancy test and use adequate contraceptive methods during participation in the study and for 1 month after the last medication dose in the case of those receiving ivermectin</li><li>Exclusion criteria: allergy or hypersensitivity to ivermectin or its inactive ingredients, or both; people meeting COVID-19 severity criteria, with respiratory distress or requiring intensive care; using medications having potential activity against SARS-CoV-2 such as hydroxychloroquine, chloroquine, lopinavir, ritonavir, remdesivir, or azithromycin in the last 3 months; use of immunodepressants (including systemic corticosteroids) in the last 30 days; known HIV infection with CD4 count &lt; 300 cell/µL; pregnancy or lactating; other infectious diseases or medical conditions such as malabsorption syndromes affecting proper ivermectin absorption; acute allergy conditions or with severe allergic reactions background; autoimmune disease or decompensated chronic diseases, or both; uncontrolled, intercurrent diseases including renal impairment, hepatic impairment, symptomatic congestive heart failure, unstable chest angina, heart arrhythmia or psychiatric conditions that may limit adherence to CT requirements</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 0.6 mg/kg (rounding to the lower full (6 mg) or half (3 mg) dose), once daily for 5 days</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>No treatment except standard of care</li></ul><li>Concomitant therapy: standard of care (no details provided) administered in both study arms</li><li>Duration of follow-up: 30 days</li><li>Treatment cross-overs: none</li></ul>",<ul><li>Primary study outcome</li><ul><li>Reduction in SARS-CoV-2 viral load at 5 days</li></ul><li>Relevant review outcomes reported</li><ul><li>Adverse events within 30 days</li><li>Serious adverse events within 30 days</li><li>Worsening of clinical status – need for invasive mechanical ventilation or death at 30 days</li><li>Mortality at 30 days</li></ul><li>Additional study outcomes reported</li><ul><li>Need for invasive mechanical ventilation at 7 days</li><li>Relationship between ivermectin plasma concentrations and the primary outcome</li><li>Clinical evolution at 7 days</li></ul></ul>,"<ul><li>Date of publication: 1 July 2021</li><li>Sponsor/funding: Laboratorio Elea Phoenix S.A. (provided intervention drug)</li><li>Correspondence with the author team: author request sent (publication status before journal publication was available); author responded</li><li>Information on ethics votum: ethics committee approval by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations: approval number not reported, but provided by study author via personal communication</li></ul>"
López-Medina 2021,2021,PUB,17771017,"<ul><li>Trial design: double-blind RCT with 2 parallel arms</li><li>Type of publication: journal publication</li><li>Setting: outpatient (&lt; 1% inpatients at baseline)</li><li>Recruitment dates: July to December 2020</li><li>Country: Columbia</li><li>Language: English</li><li>Number of centres: 1</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04405843</li><li>Date of registration: 28 May 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 476/398</li><li>Age (median): overall 37 years</li><li>Males, n: overall 167 (42%)</li><li>Severity of condition according to study definition: mild disease, defined as being at home or hospitalized but not receiving high-flow nasal oxygen or mechanical ventilation</li><li>Severity of condition according to WHO scale: 2 to 3 (&lt; 1% of included patients 4 to 5)</li><li>Time from symptom onset to enrolment (median): overall 5 (IQR 4 to 6) days</li><li>Comorbidities: any pre-existing condition, obesity, diabetes, hypertension, respiratory disease</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR or RAT (100%)</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Inclusion criteria: aged ≥ 18 years; confirmed SARS-CoV-2 by RT-PCR or antigen detection in a Colombian National Institute of Health-approved laboratory; beginning of symptoms in the past 7 days; mild disease; informed consent</li><li>Exclusion criteria: pre-existing liver disease; hypersensitivity to ivermectin; participants in other clinical trials for therapies against COVID-19; severe pneumonia; pregnant or breastfeeding women; concomitant use of warfarin, erdafitinib, or quinidine; use of ivermectin in the 5 days prior to randomization; inability to obtain a blood sample needed to assess liver transaminases; elevation of transaminases &gt; 1.5 times the normal level; participant whose first contact with the study personnel occurs between days 5 and 7 and at that time manifests significant and progressive resolution of COVID-19 related signs and symptoms</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 0.3 mg/kg, once daily for 5 days</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>Placebo</li><li>Up to 26 August 2020, the placebo was a mixture of 5% dextrose in saline and 5% dextrose in distilled water, after which placebo was a solution with similar organoleptic properties to ivermectin</li></ul><li>Concomitant therapy: standard of care including NSAIDs, antipyretic drugs, antibiotics, steroids, anticoagulants administered in both study arms</li><li>Duration of follow-up: 21 days</li><li>Treatment cross-overs: none</li></ul>","<ul><li>Primary study outcome</li><ul><li>Time to resolution of symptoms (hazard ratio)</li><li>Symptom resolution at 21 days</li></ul><li>Relevant review outcomes reported</li><ul><li>Mortality at 21 days</li><li>Symptom resolution at 15 days and 21 days</li><li>Duration to symptom resolution, reported as median</li><li>Adverse events within 21 days</li><li>Serious adverse events within 21 days</li></ul><li>Additional study outcomes reported</li><ul><li>Deterioration of ≥ 2 points in an ordinal 8-point scale</li><li>Overall number of participants hospitalized with or without supplemental oxygen, which could not be judged as either worsening or improvement due to overlap with status at baseline; (outcome as needed combined with mortality not provided by study author upon request via personal communication)</li><li>Fever since randomization</li><li>Median duration of febrile episode</li><li>Emergency department visits or telemedicine consultations, number of participants</li><li>Escalation of care since randomization and escalation of care occurring ≥ 12 hours since randomization including</li><ul><li>Mortality at 15 days</li><li>Worsening of clinical status – need for invasive mechanical ventilation at 15 and 21 days</li><li>Worsening of clinical status – need for non-invasive mechanical ventilation or high flow at 15 and 21 days</li></ul></ul></ul>","<ul><li>Date of publication: 4 March 2021</li><li>Sponsor/funding: Centro de Estudios en Infectología Pediátrica</li><li>Correspondence with the author team: author request sent (review relevant outcome data); no response received from author</li><li>Information on ethics votum: ethics committee approval number reported by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations</li></ul>"
Mohan 2021,2021,PUB,17771020,"<ul><li>Trial design: double-blind RCT with 3 parallel arms, the 2 intervention arms were pooled for this review</li><li>Type of publication: journal publication</li><li>Setting: inpatient</li><li>Recruitment dates: July to September 2020</li><li>Country: India</li><li>Language: English</li><li>Number of centres: 1</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: CTRI/2020/06/026001</li><li>Date of registration: 21 June 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 157/152 (test-positive population 157/125</li><li>Age (mean): overall 35 (10.4%)</li><li>Males, n: overall 111 (89%)</li><li>Severity of condition according to study definition: hospitalized, non-severe symptoms</li><li>Severity of condition according to WHO scale: 4 to 5 including people who were asymptomatic</li><li>Time from symptom onset to enrolment (median): overall 5 (IQR 3 to 7) days</li><li>Comorbidities: diabetes, hypertension</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR (relevant population 100% test-positive)</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Inclusion criteria: aged ≥ 18 years; diagnosed with non-severe COVID-19, i.e. SpO<sub>2</sub> &gt; 90% in room air and with no hypotension or requirement of mechanical ventilation; diagnosis of COVID-19 was based on a positive result on either SARS-CoV-2 RT-PCR or RAT</li><li>Exclusion criteria: no informed consent; pregnancy or lactation; known hypersensitivity to ivermectin, chronic kidney disease with creatinine clearance &lt; 30 mL/minutes; elevated transaminase levels (&gt; 5 × upper limit of normal); myocardial infarction or heart failure within 90 days prior to enrolment; prolonged corrected QT interval (&gt; 450 ms) on ECG; any other severe comorbidity as per investigator's assessment; enrolment in a concomitant clinical trial</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 12 mg and 24 mg (pooled), single dose</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>Placebo</li></ul><li>Concomitant therapy: standard of care including hydroxychloroquine, favipiravir, remdesivir, dexamethasone, dalteparin, azithromycin, amoxycillin/clavulanate, doxycycline, or ceftriaxone administered in both study arms</li><li>Duration of follow-up: 14 days or until hospital discharge</li><li>Treatment cross-overs: none</li></ul>","<ul><li>Primary study outcome</li><ul><li>Reduction of viral load and conversion to negativity of nasopharyngeal/oropharyngeal RT-PCR at 3, 5, and 7 days</li></ul><li>Relevant review outcomes reported</li><ul><li>Viral clearance (RT-PCR) at 3 and 5 days (detailed data provided by study author via personal communication)</li><li>Adverse events within 14 days</li><li>Serious adverse events within 14 days</li></ul><li>Additional study outcomes reported</li><ul><li>Mortality at 14 days</li><li>Need for invasive mechanical ventilation at 14 days</li><li>Change in WHO Ordinal Scale score between day 0 to 14</li><li>Any clinical worsening during treatment</li><li>Duration of symptom resolution</li><li>Discharge at 14 days</li><li>Hospital-free days at day 28</li><li>Viral clearance (RT-PCR) at 7 days (not reported for complete intention-to-treat population)</li></ul></ul>","<ul><li>Date of publication: 24 August 2021</li><li>Sponsor/funding: Department of Science and Technology, Government of India and WindLas BioTech Ltd Haryana</li><li>Correspondence with the author team: author request sent (publication status, clarification of healthcare setting, proportion of only symptomatic participants reaching symptom resolution in modified intention-to-treat, clarification of viral clearance outcome); only partial response received from author</li><li>Information on ethics votum: ethics committee approval number reported by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations</li></ul>"
Pott-Junior 2021,2021,PUB,17771029,"<ul><li>Trial design: open-label RCT with 4 parallel arms, the 3 intervention arms were pooled for this review</li><li>Type of publication: journal publication</li><li>Setting: inpatient</li><li>Recruitment dates: July to December 2020</li><li>Country: Brazil</li><li>Language: English</li><li>Number of centres: 1</li><li>Study purpose (treatment, prevention): treatment</li><li>Trial registration number: NCT04431466</li><li>Date of registration: 16 June 2020</li></ul>","<ul><li>Number of participants (randomized/analysed): 32/31</li><li>Age (mean): overall 49 (SD 14.6) years</li><li>Males, n: overall 17 (45%)</li><li>Severity of condition according to study definition: hospitalized, mild clinical symptoms</li><li>Severity of condition according to WHO scale: unclear; available information: minimum category 4, 20% in category 5</li><li>Time from symptom onset to enrolment (median): 8 (IQR 7 to 10) days</li><li>Comorbidities: NR</li><li>Virus detection performed at baseline (test-positive at baseline): RT-PCR (100%)</li><li>Vaccination status: NR, study period before vaccination was available</li><li>Inclusion criteria: diagnosis of infection by SARS-CoV-2 by symptoms of acute respiratory tract infection (sudden onset of ≥ 1 of the following: cough, fever, shortness of breath) and biomolecular diagnosis of SARS-CoV-2 infection or any acute respiratory disease AND biomolecular diagnosis of SARS-CoV-2 infection or severe acute respiratory infection (fever and ≥ 1 sign/symptom of respiratory disease, e.g. cough, fever, shortness of breath); need of hospitalization; biomolecular diagnosis of SARS-CoV-2 infection; Eastern Cooperative Oncology Group Performance Status score 0 to 1; National Early Warning Score 0–4; ability to understand and consent to participate in this clinical trial, manifested by signing the informed consent form.</li><li>Exclusion criteria: inability to ingest study drug orally through spontaneous ingestion or use of enteral tubes; risk to participant in the trial judged by physician, based on patient history, clinical observation, laboratory test findings, ECG examination; known hypersensitivity to the components of the drugs used during the study; women in pregnancy or breastfeeding; bodyweight &lt; 15 kg; estimated glomerular filtration rate &lt; 30 mL/minute; AST or ALT &gt; 5 times the upper limit of normality; refusal to participate or to sign the informed consent form</li></ul>","<ul><li>Details of intervention</li><ul><li>Type and dose: ivermectin 0.1 mg/kg, 0.2 mg/kg, and 0.4 mg/kg cumulative over 72 hours, unclear frequency scheme (pooled)</li><li>Route of administration: oral</li></ul><li>Treatment details of control group</li><ul><li>No treatment except standard of care</li></ul><li>Concomitant therapy: standard of care including thromboprophylaxis, steroids, antibiotics administered in both study arms, but unbalanced between groups</li><li>Duration of follow-up: 28 days</li><li>Treatment cross-overs: none</li></ul>",<ul><li>Primary study outcome</li><ul><li>Time to RT-PCR negativity</li></ul><li>Relevant review outcomes reported</li><ul><li>Viral clearance (RT-PCR) at 7 days</li><li>Adverse events within 28 days</li></ul><li>Additional study outcomes reported</li><ul><li>Viral load variation clearance in nasopharyngeal swab at 7 days</li><li>Time to undetectable viral load in nasopharyngeal swab at 7 days</li><li>Change in cycle threshold values (RT-PCR) within 7 days</li><li>ICU admission within 28 days (outcome combined with mortality not provided by study author upon request via personal communication)</li></ul></ul>,"<ul><li>Date of publication: 9 March 2021</li><li>Sponsor/funding: Federal University of Sao Carlos, Brazil</li><li>Correspondence with the author team: author request sent (details of intervention, especially deviations between protocol and publication; review relevant outcome data); no response received from the author</li><li>Information on ethics votum: ethics committee approval number reported by a nationally-recognized ethics committee, as defined in the country's clinical trial regulations</li></ul>"
