Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality at up to day 30,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroid (plus standard care),Standard care (with/without placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,6,1057,10,1075,0.609149,0.222458,1.668008,,,0.0,,,0.0,0,1.0,0.0,0.964477,,0.334807,,,,,analysis:461017230430967365
1,2,Admission to hospital or death at up to 30 days,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroid (plus standard care),Standard care (with/without placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,55,984,82,1041,0.71561,0.514691,0.994962,,,0.0,,,0.532665,1,0.465489,0.0,1.99,,0.046591,,,,,analysis:461017230431229513
1,3,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 14,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroid (plus standard care),Standard care (with/without placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,543,984,466,1002,1.189143,1.091001,1.296114,,,0.0,,,0.47015,1,0.492918,0.0,3.941724,,8.1E-5,,,,,analysis:461017230432802380
1,4,Symptom resolution: mean time to recovery (days),Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Continuous,false,,,,,,,Inhaled corticosteroids (plus standard care),Standard care (with/without placebo),IV,Mean Difference,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461017230433064527
1,5,Symptom resolution: all initial symptoms resolved at up to day 30,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroids (plus standard care),Placebo (plus standard care),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461017230433326673
1,6,Quality of life at day 28: mean in well-being (WHO-5 Well-Being Questionnaire),Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Continuous,false,,,,,,,Inhaled corticosteroids (plus standard care),Standard care (with/without placebo),IV,Mean Difference,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461017230433588819
1,7,Serious adverse events,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroids (plus standard care),Standard care (with/without placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461017230433588821
1,8,Adverse events,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroid (plus standard care),Standard care (with/without placebo),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461017230433588823
1,9,Infections,Inhaled corticosteroids (plus standard care) versus standard care (with or without placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,Inhaled corticosteroids(plus standard care),Placebo (plus standard care),MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461017230433850969
