Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
1,1,Moderate disease (WHO 4 to 5),1,5,121,9,109,100.0,0.597184,0.142032,2.510902,0.363836,1.283972,1.0,0.257162,22.11666,0.703552,0.481712,subgroup:430457654787492594
1,2,Moderate disease (WHO 4 to 5),1,7,66,8,52,100.0,0.817533,0.328164,2.036667,0.0,0.174406,1.0,0.676226,0.0,0.432593,0.665311,subgroup:430457654438054341
1,3,Moderate disease (WHO 4 to 5),1,27,36,27,37,100.0,1.027778,0.782962,1.349142,0.0,0.0,0.0,1.0,0.0,0.197379,0.843531,subgroup:430457654603991634
1,4,Moderate disease (WHO 4 to 5),1,1,130,0,67,100.0,1.548387,0.066803,35.889386,0.0,0.0,0.0,1.0,0.0,0.272625,0.785141,subgroup:430457654905457473
1,5,Moderate disease (WHO 4 to 5),1,34,157,13,71,100.0,1.0434,0.608991,1.787682,0.0,1.809006,2.0,0.404743,0.0,0.154647,0.8771,subgroup:430457654846999316
1,6,Moderate disease (WHO 4 to 5),1,10,80,7,45,100.0,0.803571,0.328618,1.964979,0.0,0.0,0.0,1.0,0.0,0.479352,0.631688,subgroup:430457654364129676
1,7,Moderate disease (WHO 4 to 5),1,63,139,34,92,100.0,1.122766,0.798073,1.579559,0.0,0.783576,2.0,0.675848,0.0,0.664874,0.506131,subgroup:430457655022635931
