Study,Year,Data source,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Identification,Char: Notes
Beigel 2020,2020,PUB,,,,,,
Gottlieb 2021,2021,PUB,,,,,,
Mahajan 2021,2021,PUB,,,,,,
Spinner 2020,2020,PUB,,,,,,
Wang 2020,2020,PUB,,,,,,
WHO Solidarity Canada 2022,2022,PUB,,,,,,
WHO Solidarity France 2021,2021,PUB,,,,,,
WHO Solidarity Norway 2021,2021,PUB,,,,,,
WHO Solidarity Trial Consortium 2022,2022,PUB,,,,,,
