Study,Year,Data source,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Cao 2020,2020,PUB,,,,,
Ely 2022,2022,PUB,,,,,
Guimarães 2021,2021,PUB,,,,,
Horby 2022,2022,PUB,,,,,
Kalil 2021,2021,PUB,,,,,
Marconi 2021,2021,PUB,,,,,
