Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Carbone 2017,Low risk,<p>Participants are enrolled using the Interective Voice Response System (IVRS) and randomised when a randomisation call is made into the IVRS</p>,Low risk,<p>Central allocation (through a telephone-based randomisation).</p>,High risk,"<p>It is an open-label trial, so not blinded for participants and personnel. The absence of blinding could influence results of primary outcome (progression-free survival).</p>",Low risk,<p>The primary outcome (progression-free survival) is assessed by blinded independent central review</p>,Low risk,"<p>There was a dropout rate of 22% and progression-free survival was measured on 423 patients instead of 541 randomised patients. However, progression-free survival in all randomised patients (secondary outcome) confirmed the results observed in 423 patients limiting the risk of attrition bias.</p>",Low risk,<p>The study protocol is available and the published reports include all expected outcomes</p>,High risk,"<p>Some baseline differences in patients characteristics (gender, PD-L1 expression, liver metastases). Some authors declared conflicts of interest related to the present study or received personal fees from pharmaceutical companies conducting the trial.</p>"
Hellmann 2018,Low risk,<p>Participants are enrolled using the Interective Voice Response System (IVRS) and randomised when a randomisation call is made into the IVRS</p>,Low risk,<p>Central allocation (through a telephone based randomisation).</p>,High risk,<p>Open-label trial design.The absence of blinding could influence results of some primary outcomes (progression-free survival).</p>,Low risk,"<p>Primary outcome (progression-free survival) is assessed by blinded independent central review, co-primary outcome (overall survival) is not influenced by blinding of assessment.</p>",High risk,"<p>Although number of participants enrolled, randomised and analysed is clearly reported, there was a high dropout rate (randomised patients 1739, primary outcome reported in 299 patients)</p>",Low risk,<p>Protocol was available and all outcomes were reported</p>,High risk,"<p>Although tumour mutational burden analysis was performed before database lock and breaking of coded treatments, this amendment substantially affect the primary and secondary endpoints of the study. Some authors declared conflicts of interest related to the present study or received personal fees from pharmaceutical companies conducting the trial.</p>"
Herbst 2020,Low risk,<p>Randomisation number was obtained by a web-based response system</p>,Low risk,<p>Central allocation was performed. Study sites obtained participants randomisation number and treatment assignment from interactive voice or web-based response system</p>,Low risk,"<p>No blinding it is an open-label study design. However, the absence of blinding unlikely influenced results of the primary outcome (OS).</p>",Low risk,<p>Primary endpoint (overall survival) was not influenced by the absence of blinding assessment</p>,Low risk,<p>Outcome reported as intention to treat (ITT) population. No drop outs </p>,Low risk,<p>Protocol was available and all outcomes were reported.</p>,Unclear risk,<p>Some authors declared conflicts of interest related to the present study or received personal fees from pharmaceutical companies conducting the trial.</p>
Mok 2019,Low risk,"<p>Randomisation was computer generated, accessed via an interactive voice-response and integrated web-response system, and stratified by region of enrolment (east Asia vs rest of world)</p>",Low risk,<p>Enrolled participants were randomly assigned 1:1 in blocks of four per stratum (central allocation)</p>,Low risk,"<p>The study was open-label due to quote: &quot;differences in infusion durations, administration schedules and requirement for pre medications&quot;. However, the absence of blinding unlikely influenced results of primary outcome (OS).</p>",Low risk,<p>Central radiological reviewers were unaware of treatment assignments</p>,Low risk,"<p>Number of participants eligible of inclusion in the trial, number included in each arm and the number of participants who discontinued all clearly documented. Reasons for dropout were also documented. Dropout regarded only 1 patient. Outcomes were measured on randomised patients.</p>",Low risk,<p>Protocol was available and all outcomes were reported</p>,High risk,<p>Protocol amended changing the primary and secondary endpoints and a new cut off point (PD-L1 tumour proportional score 20%) was included. Some authors declared conflicts of interest related to the present study or received personal fees from pharmaceutical companies conducting the trial.</p>
Reck 2016,Low risk,<p>Random sequence generated using Interactive Voice Response System (IVRS) and integrated web response system (IWRS)</p>,Low risk,<p>Central allocation</p>,High risk,<p>Open-label design trial. The absence of blinding could influence results of primary outcome (progression-free survival)</p>,Low risk,<p>Assessment was done by blinded independent central radiologic review</p>,Low risk,<p>Primary and secondary endpoints were reported on the intention to treat population</p>,Low risk,<p>Outcomes reported for all groups</p>,Unclear risk,<p>Some authors declared conflicts of interest related to the present study or received personal fees from pharmaceutical companies conducting the trial</p>
Rizvi 2020,Low risk,<p>Using the Interactive Voice Response System (IVRS) and integrated web response system (IWRS)</p>,Low risk,<p>A blocked randomisation is used and all the centres use the same randomisation list in order to minimize any imbalance in the number of patients assigned to each treatment group.</p>,High risk,<p>It is an open-label study. The absence of blinding could influence results of some primary outcomes (progression-free survival).</p>,Low risk,<p>The primary endpoint is progression-free survival by blinded independent central review assessment</p>,High risk,"<p>The primary analysis population for the study was amended to include only people with PD-L1 expression ≥25%, therefore only 488 (44%) of 1118 randomised people were included in the analysis of the trial primary outcome</p>",Low risk,<p>Outcomes reported for all groups</p>,Unclear risk,<p>Some authors declared conflicts of interest related to the present study or received personal fees from pharmaceutical companies conducting the trial.</p>
Sezer 2020,Unclear risk,<p>Randomisation was not reported</p>,Unclear risk,<p>Method of assignment to intervention was not reported</p>,High risk,<p>It is an open-label study. The absence of blinding could influence results of some primary outcomes (progression-free survival).</p>,Unclear risk,<p>No information</p>,Unclear risk,"<p>No full publication was available, trial primary outcomes were presented in an abstract</p>",Unclear risk,<p>No information</p>,High risk,"<p>PD-L1 level ≥50% was an inclusion criteria, however some participants were retested and had PD-L1 expression &lt; 50%. Only OS and PFS data were reported for people with ≥ 50% PD-L1 level intention to treat population, the rest of participants characteristics were presented for all participants regardless of the PD-L1 level.</p>"
