Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,5,"Adverse events (any grade) during the study period, defined as number of participants with any event",Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,NCT04335552,2021,0.0,0.0,0.0,0.0,1,5,0.0,0.0,0,5,0.0,0.0,0.80724,3.0,0.150276,59.889831,Time point of outcome assessment (60 days); participants (WHO min. 4; only RT-PCR positive); comparator (standard of care)
1,6,Cardiac arrhythmias during the study period,Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,Cavalcanti 2020,2020,0.0,0.0,0.0,0.0,1,172,0.0,0.0,2,159,0.0,0.0,0.875912,0.462209,0.04232,5.048112,Time point of outcome assessment (15 days); participants (WHO 4-5; only RT-PCR positive); comparator (standard of care)
1,6,Cardiac arrhythmias during the study period,Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,Sekhavati 2020,2020,0.0,0.0,0.0,0.0,0,56,0.0,0.0,0,55,0.0,0.0,,,,,Time point of outcome assessment (30 days); participants (WHO 4; only RT-PCR positive); comparator (standard of care)
1,6,Cardiac arrhythmias during the study period,Moderate to severe disease (WHO 4-9),2,SUBGROUP_AND_OVERALL,Furtado 2020,2020,0.0,0.0,0.0,0.0,8,241,0.0,0.0,5,198,0.0,0.0,4.12687,1.314523,0.436944,3.954669,Time point of outcome assessment (29 days); participants (WHO 5-7; 89% RT-PCR positive); comparator (standard of care)
1,6,Cardiac arrhythmias during the study period,Moderate to severe disease (WHO 4-9),2,SUBGROUP_AND_OVERALL,RECOVERY 2021,2021,0.0,0.0,0.0,0.0,101,2314,0.0,0.0,224,4670,0.0,0.0,94.997219,0.90997,0.723315,1.144792,Time point of outcome assessment (28 days); participants (WHO 4-7; 91.5% RT-PCR positive); comparator (standard of care)
2,1,All-cause mortality at day 28,,,SUBGROUP_AND_OVERALL,Hinks 2020,2020,0.0,0.0,0.0,0.0,1,75,0.0,0.0,1,75,0.0,0.0,100.0,1.0,0.063719,15.693819,Time point of outcome assessment (28 days); participants (WHO 2-3; only RT-PCR positive); comparator (standard of care)
2,1,All-cause mortality at day 28,,,SUBGROUP_AND_OVERALL,Omrani 2020,2020,0.0,0.0,0.0,0.0,0,152,0.0,0.0,0,152,0.0,0.0,,,,,Time point of outcome assessment (21 days); participants (WHO 1-3; only RT-PCR positive); comparator (placebo)
2,1,All-cause mortality at day 28,,,SUBGROUP_AND_OVERALL,PRINCIPLE 2021,2021,0.0,0.0,0.0,0.0,0,186,0.0,0.0,0,236,0.0,0.0,,,,,Time point of outcome assessment (28 days); participants (WHO 2-3; only RT-PCR positive); comparator (standard of care)
2,2,Admission to hospital or death within 28 days,,,SUBGROUP_AND_OVERALL,Hinks 2020,2020,0.0,0.0,0.0,0.0,11,75,0.0,0.0,11,75,0.0,0.0,42.027474,1.0,0.462081,2.164124,Time point of outcome assessment (28 days); participants (WHO 2-3; only RT-PCR positive); comparator (standard of care)
2,2,Admission to hospital or death within 28 days,,,SUBGROUP_AND_OVERALL,Omrani 2020,2020,0.0,0.0,0.0,0.0,4,152,0.0,0.0,3,152,0.0,0.0,11.436175,1.333333,0.303527,5.857074,Time point of outcome assessment (21 days); participants (WHO 1-3; only RT-PCR positive); comparator (placebo)
2,2,Admission to hospital or death within 28 days,,,SUBGROUP_AND_OVERALL,PRINCIPLE 2021,2021,0.0,0.0,0.0,0.0,11,186,0.0,0.0,17,236,0.0,0.0,46.53635,0.820999,0.3942,1.709892,Time point of outcome assessment (28 days); participants (WHO 2-3; only RT-PCR positive); comparator (standard of care)
2,3,All initial symptoms resolved (asymptomatic) at day 14,,,SUBGROUP_AND_OVERALL,Omrani 2020,2020,0.0,0.0,0.0,0.0,66,69,0.0,0.0,64,69,0.0,0.0,100.0,1.03125,0.949163,1.120436,Time point of outcome assessment (14 days); participants (WHO 1-3; only RT-PCR positive); comparator (placebo)
2,4,All initial symptoms resolved (asymptomatic) at day 28,,,SUBGROUP_AND_OVERALL,Omrani 2020,2020,0.0,0.0,0.0,0.0,67,69,0.0,0.0,68,69,0.0,0.0,59.430005,0.985294,0.937423,1.03561,Time point of outcome assessment (21 days); participants (WHO 1-3; only RT-PCR positive); comparator (placebo)
2,4,All initial symptoms resolved (asymptomatic) at day 28,,,SUBGROUP_AND_OVERALL,PRINCIPLE 2021,2021,0.0,0.0,0.0,0.0,98,186,0.0,0.0,131,225,0.0,0.0,40.569995,0.90495,0.759295,1.078545,Time point of outcome assessment (28 days); participants (WHO 2-3; only RT-PCR positive); comparator (standard of care)
2,5,"Serious adverse events during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Hinks 2020,2020,0.0,0.0,0.0,0.0,0,75,0.0,0.0,0,75,0.0,0.0,,,,,Time point of outcome assessment (28 days); participants (WHO 2-3; only RT-PCR positive); comparator (standard of care)
2,5,"Serious adverse events during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Omrani 2020,2020,0.0,0.0,0.0,0.0,0,152,0.0,0.0,0,152,0.0,0.0,,,,,Time point of outcome assessment (21 days); participants (WHO 1-3; only RT-PCR positive); comparator (placebo)
