Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,16,Tumor Mutational Burden low,2,113,554,137,493,53.10979,0.729515,0.58712,0.906445,0.0,,,0.94266,2,0.624171,0.0,2.846522,,0.00442,subgroup:460563895239654790
1,17,Adverse Events grade 3-4,1,283,1703,680,1643,91.393075,0.40727,0.333697,0.497064,0.031508,,,10.464576,4,0.033288,61.775805,8.836473,,0.0,subgroup:460563895240179083
1,17,Adverse Events grade 5 (toxic deaths),2,19,1703,24,1643,8.606925,0.776585,0.428953,1.405945,0.0,,,0.57012,4,0.966325,0.0,0.834921,,0.403762,subgroup:460563895240703377
1,20,GHS/QOL,1,58,150,64,147,100.0,0.888125,0.675966,1.166873,0.0,,,0.0,0,1.0,0.0,0.851872,,0.394285,subgroup:460563895241751964
1,20,Physical functioning,2,80,150,58,147,100.0,1.351724,1.052707,1.735677,0.0,,,0.0,0,1.0,0.0,2.362628,,0.018146,subgroup:460563895242014110
1,20,Role functioning,3,63,150,53,147,100.0,1.164906,0.875276,1.550374,0.0,,,0.0,0,1.0,0.0,1.046572,,0.295297,subgroup:460563895242014112
1,20,Emotional functioning,4,79,150,70,147,100.0,1.106,0.880943,1.388553,0.0,,,0.0,0,1.0,0.0,0.867935,,0.38543,subgroup:460563895242276258
1,20,Cognitive functioning,5,80,150,70,147,100.0,1.12,0.89329,1.404247,0.0,,,0.0,0,1.0,0.0,0.982082,,0.32606,subgroup:460563895242538404
1,20,Social functioning,6,69,150,56,147,100.0,1.2075,0.922416,1.580693,0.0,,,0.0,0,1.0,0.0,1.372223,,0.169994,subgroup:460563895242800550
1,20,Fatigue,7,46,150,38,147,100.0,1.186316,0.82395,1.708047,0.0,,,0.0,0,1.0,0.0,0.918701,,0.358252,subgroup:460563895243062696
1,20,Nausea and vomiting,8,109,150,86,147,100.0,1.242093,1.050181,1.469076,0.0,,,0.0,0,1.0,0.0,2.53174,,0.01135,subgroup:460563895243062698
1,20,Pain,9,53,150,63,147,100.0,0.824444,0.619463,1.097254,0.0,,,0.0,0,1.0,0.0,1.32361,,0.185633,subgroup:460563895243324844
1,20,Dyspnoea,10,77,150,59,147,100.0,1.278983,0.994572,1.644726,0.0,,,0.0,0,0.0,0.0,1.917547,,0.055168,subgroup:460563895243586990
1,20,Insomnia,11,72,150,52,147,100.0,1.356923,1.030942,1.785978,0.0,,,0.0,0,0.0,0.0,2.17735,,0.029454,subgroup:460563895243849136
1,20,Appetite loss,12,72,150,61,147,100.0,1.156721,0.897135,1.491419,0.0,,,0.0,0,1.0,0.0,1.122815,,0.261516,subgroup:460563895243849138
1,20,Constipation,13,89,150,80,147,100.0,1.09025,0.893879,1.32976,0.0,,,0.0,0,1.0,0.0,0.852779,,0.393782,subgroup:460563895244111284
1,20,Diarrhoea,14,117,150,95,147,100.0,1.206947,1.04224,1.397683,0.0,,,0.0,0,1.0,0.0,2.512633,,0.011983,subgroup:460563895244373430
1,20,Financial difficulties,15,95,150,80,147,100.0,1.16375,0.96083,1.409525,0.0,,,0.0,0,1.0,0.0,1.55123,,0.120847,subgroup:460563895244373432
1,21,GHS/QOL,1,32,150,44,147,100.0,0.712727,0.480403,1.057404,0.0,,,0.0,0,1.0,0.0,1.682634,,0.092446,subgroup:460563895244897723
1,21,Physical functioning,2,30,150,53,147,100.0,0.554717,0.377182,0.815815,0.0,,,0.0,0,1.0,0.0,2.994334,,0.00275,subgroup:460563895244897725
1,21,Role functioning,3,33,150,53,147,100.0,0.610189,0.421338,0.883685,0.0,,,0.0,0,1.0,0.0,2.614399,,0.008938,subgroup:460563895245159871
1,21,Emotional functioning,4,22,150,18,147,100.0,1.197778,0.670701,2.139063,0.0,,,0.0,0,1.0,0.0,0.609951,,0.541894,subgroup:460563895245422017
1,21,Cognitive functioning,5,40,150,38,147,100.0,1.031579,0.704545,1.510416,0.0,,,0.0,0,1.0,0.0,0.159815,,0.873027,subgroup:460563895245684163
1,21,Social functioning,6,31,150,50,147,100.0,0.6076,0.413024,0.893842,0.0,,,0.0,0,1.0,0.0,2.529792,,0.011413,subgroup:460563895245946309
1,21,Fatigue,7,27,150,62,147,100.0,0.426774,0.288805,0.630655,0.0,,,0.0,0,0.0,0.0,4.273736,,1.9E-5,subgroup:460563895246208455
1,21,Nausea and vomiting,8,17,150,35,147,100.0,0.476,0.279365,0.81104,0.0,,,0.0,0,0.0,0.0,2.73026,,0.006328,subgroup:460563895246208457
