Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,4,Overall survival by age (PDL1 ≥50%),Age <65 years,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2107,0.1468,0.0,0.0,0,167,0.0,0.0,0,161,0.0,0.0,34.618137,0.810017,0.607488,1.080067,
1,4,Overall survival by age (PDL1 ≥50%),Age <65 years,1,SUBGROUP_AND_OVERALL,Reck 2016,,-0.5108,0.2398,0.0,0.0,0,77,0.0,0.0,0,64,0.0,0.0,12.973509,0.600015,0.375011,0.960021,
1,4,Overall survival by age (PDL1 ≥50%),Age ≥65 years,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.5447,0.1641,0.0,0.0,0,132,0.0,0.0,0,139,0.0,0.0,27.703755,0.580016,0.420492,0.800059,
1,4,Overall survival by age (PDL1 ≥50%),Age ≥65 years,2,SUBGROUP_AND_OVERALL,Reck 2016,,-0.4463,0.2174,0.0,0.0,0,77,0.0,0.0,0,87,0.0,0.0,15.784714,0.639992,0.417949,0.979999,
1,5,Overall survival by sex (PDL1≥ 1%),Male,1,SUBGROUP_AND_OVERALL,Carbone 2017,,-0.0305,0.1335,0.0,0.0,0,184,0.0,0.0,0,148,0.0,0.0,22.581364,0.96996,0.746653,1.260055,
1,5,Overall survival by sex (PDL1≥ 1%),Male,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2231,0.0829,0.0,0.0,0,450,0.0,0.0,0,452,0.0,0.0,43.538229,0.800035,0.680055,0.941182,
1,5,Overall survival by sex (PDL1≥ 1%),Female,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.1398,0.1873,0.0,0.0,0,87,0.0,0.0,0,122,0.0,0.0,12.839877,1.150044,0.796681,1.660139,
1,5,Overall survival by sex (PDL1≥ 1%),Female,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.1165,0.1396,0.0,0.0,0,187,0.0,0.0,0,185,0.0,0.0,21.04053,0.89003,0.676982,1.170125,
1,6,Overall survival by sex (PDL1≥50%),Male,1,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.5621,0.2488,0.0,0.0,0,79,0.0,0.0,0,64,0.0,0.0,10.676949,0.570011,0.350029,0.928244,
1,6,Overall survival by sex (PDL1≥50%),Male,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.3857,0.1272,0.0,0.0,0,205,0.0,0.0,0,210,0.0,0.0,40.848272,0.679974,0.529932,0.8725,
1,6,Overall survival by sex (PDL1≥50%),Male,1,SUBGROUP_AND_OVERALL,Reck 2016,,-0.6162,0.1941,0.0,0.0,0,92,0.0,0.0,0,95,0.0,0.0,17.542716,0.539993,0.369122,0.789962,
1,6,Overall survival by sex (PDL1≥50%),Female,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.3711,0.3573,0.0,0.0,0,28,0.0,0.0,0,34,0.0,0.0,5.177044,0.689975,0.34253,1.389849,
1,6,Overall survival by sex (PDL1≥50%),Female,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2485,0.1981,0.0,0.0,0,94,0.0,0.0,0,89,0.0,0.0,16.84143,0.77997,0.528999,1.150008,
1,6,Overall survival by sex (PDL1≥50%),Female,2,SUBGROUP_AND_OVERALL,Reck 2016,,-0.0513,0.2723,0.0,0.0,0,62,0.0,0.0,0,56,0.0,0.0,8.913589,0.949994,0.557107,1.619955,
1,7,Overall survival by smoking status (PDL1≥ 1%),Never smoked,1,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0198,0.3245,0.0,0.0,0,30,0.0,0.0,0,29,0.0,0.0,6.403139,1.019997,0.539988,1.926699,
1,7,Overall survival by smoking status (PDL1≥ 1%),Never smoked,1,SUBGROUP_AND_OVERALL,Mok 2019,,0.0,0.1606,0.0,0.0,0,142,0.0,0.0,0,140,0.0,0.0,17.560336,1.0,0.729957,1.369944,
1,7,Overall survival by smoking status (PDL1≥ 1%),Former smoker,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0862,0.1329,0.0,0.0,0,186,0.0,0.0,0,182,0.0,0.0,21.367414,1.090024,0.840062,1.414363,
1,7,Overall survival by smoking status (PDL1≥ 1%),Former smoker,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.3425,0.0978,0.0,0.0,0,370,0.0,0.0,0,351,0.0,0.0,27.252143,0.709993,0.586147,0.860006,
1,7,Overall survival by smoking status (PDL1≥ 1%),Current smokers,3,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0488,0.2577,0.0,0.0,0,52,0.0,0.0,0,55,0.0,0.0,9.290488,1.05001,0.633635,1.739996,
1,7,Overall survival by smoking status (PDL1≥ 1%),Current smokers,3,SUBGROUP_AND_OVERALL,Mok 2019,,-0.0513,0.1561,0.0,0.0,0,125,0.0,0.0,0,146,0.0,0.0,18.126479,0.949994,0.699597,1.290011,
1,8,Overall survival by smoking status (PDL1≥ 50%),Never smoked,1,SUBGROUP_AND_OVERALL,Herbst 2020,,0.6043,0.5435,0.0,0.0,0,9,0.0,0.0,0,15,0.0,0.0,3.724193,1.829971,0.63069,5.309727,
1,8,Overall survival by smoking status (PDL1≥ 50%),Never smoked,1,SUBGROUP_AND_OVERALL,Mok 2019,,0.0953,0.2369,0.0,0.0,0,64,0.0,0.0,0,67,0.0,0.0,14.153885,1.099989,0.691415,1.749999,
1,8,Overall survival by smoking status (PDL1≥ 50%),Never smoked,1,SUBGROUP_AND_OVERALL,Reck 2016,,-0.1054,1.0879,0.0,0.0,0,5,0.0,0.0,0,19,0.0,0.0,0.99706,0.899964,0.10671,7.5901,
1,8,Overall survival by smoking status (PDL1≥ 50%),Former smoker,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.5108,0.2606,0.0,0.0,0,132,0.0,0.0,0,0,0.0,0.0,12.437466,0.600015,0.36003,0.999967,
1,8,Overall survival by smoking status (PDL1≥ 50%),Former smoker,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.5108,0.1468,0.0,0.0,0,178,0.0,0.0,0,174,0.0,0.0,23.773573,0.600015,0.449993,0.800053,
1,8,Overall survival by smoking status (PDL1≥ 50%),Former smoker,2,SUBGROUP_AND_OVERALL,Reck 2016,,-0.5276,0.1863,0.0,0.0,0,115,0.0,0.0,0,101,0.0,0.0,18.887902,0.590019,0.409532,0.850051,
1,8,Overall survival by smoking status (PDL1≥ 50%),Current smokers,3,SUBGROUP_AND_OVERALL,Herbst 2020,,-1.0498,0.4704,0.0,0.0,0,49,0.0,0.0,0,0,0.0,0.0,4.825673,0.350008,0.139211,0.88,
1,8,Overall survival by smoking status (PDL1≥ 50%),Current smokers,3,SUBGROUP_AND_OVERALL,Mok 2019,,-0.3425,0.2505,0.0,0.0,0,57,0.0,0.0,0,59,0.0,0.0,13.134827,0.709993,0.434538,1.160059,
1,8,Overall survival by smoking status (PDL1≥ 50%),Current smokers,3,SUBGROUP_AND_OVERALL,Reck 2016,,-0.2107,0.3473,0.0,0.0,0,34,0.0,0.0,0,31,0.0,0.0,8.065422,0.810017,0.410083,1.599987,
1,9,Overall survival by ECOG PS (PDL1≥ 1%),ECOG PS 0,1,SUBGROUP_AND_OVERALL,Carbone 2017,,0.1044,0.2053,0.0,0.0,0,85,0.0,0.0,0,93,0.0,0.0,11.44256,1.110044,0.742316,1.659939,
1,9,Overall survival by ECOG PS (PDL1≥ 1%),ECOG PS 0,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2614,0.1582,0.0,0.0,0,198,0.0,0.0,0,192,0.0,0.0,18.077422,0.769973,0.564697,1.04987,
1,9,Overall survival by ECOG PS (PDL1≥ 1%),ECOG PS 1,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0198,0.1304,0.0,0.0,0,185,0.0,0.0,0,177,0.0,0.0,24.822139,1.019997,0.789955,1.31703,
1,9,Overall survival by ECOG PS (PDL1≥ 1%),ECOG PS 1,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.1863,0.0848,0.0,0.0,0,439,0.0,0.0,0,445,0.0,0.0,45.65788,0.830025,0.702925,0.980106,
1,10,Overall survival by ECOG PS (PDL1≥ 50%),ECOG PS 0,1,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.8675,0.4001,0.0,0.0,0,35,0.0,0.0,0,38,0.0,0.0,4.605904,0.42,0.191727,0.920058,
1,10,Overall survival by ECOG PS (PDL1≥ 50%),ECOG PS 0,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.5621,0.2098,0.0,0.0,0,96,0.0,0.0,0,91,0.0,0.0,16.751011,0.570011,0.377834,0.859934,
1,10,Overall survival by ECOG PS (PDL1≥ 50%),ECOG PS 0,1,SUBGROUP_AND_OVERALL,Reck 2016,,-0.2485,0.2874,0.0,0.0,0,54,0.0,0.0,0,53,0.0,0.0,8.926444,0.77997,0.444061,1.369977,
1,10,Overall survival by ECOG PS (PDL1≥ 50%),ECOG PS 1,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.3711,0.238,0.0,0.0,0,72,0.0,0.0,0,60,0.0,0.0,13.016616,0.689975,0.43276,1.100067,
1,10,Overall survival by ECOG PS (PDL1≥ 50%),ECOG PS 1,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.3011,0.1433,0.0,0.0,0,203,0.0,0.0,0,209,0.0,0.0,35.905387,0.740004,0.5588,0.979966,
1,10,Overall survival by ECOG PS (PDL1≥ 50%),ECOG PS 1,2,SUBGROUP_AND_OVERALL,Reck 2016,,-0.5798,0.1883,0.0,0.0,0,99,0.0,0.0,0,98,0.0,0.0,20.794638,0.56001,0.387182,0.809986,
1,11,Overall survival by histological type (PDL1≥ 1%),Squamous,1,SUBGROUP_AND_OVERALL,Carbone 2017,,-0.1985,0.211,0.0,0.0,0,65,0.0,0.0,0,64,0.0,0.0,14.311336,0.81996,0.542237,1.239927,
1,11,Overall survival by histological type (PDL1≥ 1%),Squamous,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2877,0.1098,0.0,0.0,0,243,0.0,0.0,0,249,0.0,0.0,28.815028,0.749987,0.604772,0.93007,
1,11,Overall survival by histological type (PDL1≥ 1%),Non-squamous,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.157,0.1335,0.0,0.0,0,206,0.0,0.0,0,206,0.0,0.0,24.419502,1.169996,0.900635,1.519916,
1,11,Overall survival by histological type (PDL1≥ 1%),Non-squamous,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.1508,0.092,0.0,0.0,0,394,0.0,0.0,0,388,0.0,0.0,32.454134,0.86002,0.718121,1.029957,
1,12,Overall survival by histological type (PDL1≥ 50%),Squamous,1,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.5798,0.4565,0.0,0.0,0,27,0.0,0.0,0,23,0.0,0.0,3.195849,0.56001,0.228888,1.370155,
1,12,Overall survival by histological type (PDL1≥ 50%),Squamous,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.6349,0.1771,0.0,0.0,0,107,0.0,0.0,0,114,0.0,0.0,21.233947,0.529988,0.374558,0.749919,
1,12,Overall survival by histological type (PDL1≥ 50%),Squamous,1,SUBGROUP_AND_OVERALL,Reck 2016,,-0.3147,0.3286,0.0,0.0,0,29,0.0,0.0,0,27,0.0,0.0,6.167835,0.730008,0.383374,1.390056,
1,12,Overall survival by histological type (PDL1≥ 50%),Non-squamous,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.478,0.2231,0.0,0.0,0,80,0.0,0.0,0,75,0.0,0.0,13.380388,0.620022,0.400409,0.960086,
1,12,Overall survival by histological type (PDL1≥ 50%),Non-squamous,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.1985,0.1358,0.0,0.0,0,192,0.0,0.0,0,186,0.0,0.0,36.113394,0.81996,0.628347,1.070005,
1,12,Overall survival by histological type (PDL1≥ 50%),Non-squamous,2,SUBGROUP_AND_OVERALL,Reck 2016,,-0.5447,0.1829,0.0,0.0,0,125,0.0,0.0,0,124,0.0,0.0,19.908587,0.580016,0.40528,0.830089,
1,13,Progression free survival by PD-L1 expression,PDL1≥1%,1,SUBGROUP_AND_OVERALL,Carbone 2017,,0.157,0.1024,0.0,0.0,0,271,0.0,0.0,0,270,0.0,0.0,31.329997,1.169996,0.957241,1.430037,
1,13,Progression free survival by PD-L1 expression,PDL1≥1%,1,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.2614,0.1018,0.0,0.0,0,277,0.0,0.0,0,277,0.0,0.0,31.423304,0.769973,0.6307,0.94,
1,13,Progression free survival by PD-L1 expression,PDL1≥1%,1,SUBGROUP_AND_OVERALL,Mok 2019,,0.0677,0.0627,0.0,0.0,0,637,0.0,0.0,0,637,0.0,0.0,37.246698,1.070044,0.946306,1.209963,
1,13,Progression free survival by PD-L1 expression,PDL1≥50%,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0677,0.1689,0.0,0.0,0,88,0.0,0.0,0,126,0.0,0.0,18.036287,1.070044,0.768482,1.489943,
1,13,Progression free survival by PD-L1 expression,PDL1≥50%,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.462,0.1705,0.0,0.0,0,107,0.0,0.0,0,98,0.0,0.0,17.936542,0.630022,0.451051,0.880006,
1,13,Progression free survival by PD-L1 expression,PDL1≥50%,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2107,0.1024,0.0,0.0,0,299,0.0,0.0,0,300,0.0,0.0,22.123718,0.810017,0.662722,0.99005,
1,13,Progression free survival by PD-L1 expression,PDL1≥50%,2,SUBGROUP_AND_OVERALL,Reck 2016,,-0.6931,0.1268,0.0,0.0,0,154,0.0,0.0,0,151,0.0,0.0,20.671574,0.500024,0.389994,0.641096,
1,13,Progression free survival by PD-L1 expression,PDL1≥50%,2,SUBGROUP_AND_OVERALL,Sezer 2020,2017,-0.6162,0.1176,0.0,0.0,0,283,0.0,0.0,0,280,0.0,0.0,21.231879,0.539993,0.428831,0.679969,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden high,1,SUBGROUP_AND_OVERALL,Carbone 2017,,-0.478,0.2439,0.0,0.0,0,47,0.0,0.0,0,60,0.0,0.0,9.907965,0.620022,0.384414,1.000035,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden high,1,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.5798,0.3185,0.0,0.0,0,56,0.0,0.0,0,0,0.0,0.0,7.6691,0.56001,0.299977,1.045451,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden high,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2877,0.1206,0.0,0.0,0,180,0.0,0.0,0,165,0.0,0.0,14.416263,0.749987,0.592105,0.949967,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden high,1,SUBGROUP_AND_OVERALL,Rizvi 2020,,-0.2614,0.1957,0.0,0.0,0,77,0.0,0.0,0,70,0.0,0.0,11.621376,0.769973,0.524681,1.12994,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden low,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.5988,0.1721,0.0,0.0,0,111,0.0,0.0,0,94,0.0,0.0,12.507439,1.819934,1.298864,2.550042,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden low,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.0513,0.1234,0.0,0.0,0,333,0.0,0.0,0,0,0.0,0.0,14.317232,0.949994,0.745903,1.209926,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden low,2,SUBGROUP_AND_OVERALL,Mok 2019,,0.239,0.1017,0.0,0.0,0,234,0.0,0.0,0,214,0.0,0.0,15.056735,1.269979,1.040469,1.550114,
1,14,Progression Free Survival by Tumor Mutational Burden,Tumor Mutational Burden low,2,SUBGROUP_AND_OVERALL,Rizvi 2020,,0.174,0.1181,0.0,0.0,0,209,0.0,0.0,0,185,0.0,0.0,14.503892,1.190056,0.944149,1.50001,
1,15,Overall response rate by PDL1 expression,PDL1≥1%,1,SUBGROUP_AND_OVERALL,Herbst 2020,,0.0,0.0,0.0,0.0,81,277,0.0,0.0,88,277,0.0,0.0,34.079644,0.920455,0.715648,1.183873,
1,15,Overall response rate by PDL1 expression,PDL1≥1%,1,SUBGROUP_AND_OVERALL,Mok 2019,,0.0,0.0,0.0,0.0,174,637,0.0,0.0,169,637,0.0,0.0,65.920356,1.029586,0.859157,1.233823,
