Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,2,Lung cancer (small cell and non-small cell),1,108,418,119,395,78.140283,0.87376,0.717976,1.063344,0.0,,,1.231959,2,0.540112,0.0,1.346938,,0.178,subgroup:461016787176916197
1,2,Non-lung cancer,2,32,68,25,65,21.859717,1.223529,0.822099,1.820977,0.0,,,0.0,0,1.0,0.0,0.994389,,0.320034,subgroup:461016787177702633
1,4,Lung cancer (small cell and non-small cell),1,225,430,222,407,67.37265,0.946147,0.852575,1.049988,0.0,,,2.138485,3,0.544166,0.0,1.041886,,0.297464,subgroup:461016787178489074
1,4,Non-lung cancer,2,130,220,140,224,32.62735,0.946106,0.814612,1.098825,0.0,,,0.286517,1,0.592461,0.0,0.725626,,0.468068,subgroup:461016787181634807
1,9,Lung cancer (small cell and non-small cell),1,68,430,16,407,51.761929,3.946903,2.377356,6.552674,0.0,,,0.679921,2,0.711798,0.0,5.308093,,0.0,subgroup:461016787183994124
1,9,Non-lung cancer,2,40,220,19,224,48.238071,1.754495,0.629708,4.888381,0.269323,,,1.349428,1,0.245378,25.894538,1.075316,,0.282234,subgroup:461016787184518417
1,11,Lung cancer (small cell and non-small cell),1,103,288,30,266,85.459995,3.79102,1.55497,9.242512,0.301353,,,3.77927,2,0.151127,47.079733,2.930856,,0.00338,subgroup:461016787185304858
1,11,Non-lung cancer,2,7,152,3,159,14.540005,2.440789,0.64289,9.266683,0.0,,,0.0,0,1.0,0.0,1.310931,,0.189881,subgroup:461016787185829150
