Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
20,2,Low- to middle-income countries,2,88,463,63,334,4.574622,0.992088,0.739282,1.331344,0.0,0.173914,1.0,0.676657,0.0,0.052932,0.957786,subgroup:432699417998968680
20,3,High-income countries,1,4089,6115,3952,5926,94.692303,0.997777,0.97304,1.023142,0.0,0.039615,1.0,0.842236,0.0,0.17376,0.862054,subgroup:432699462594643963
20,3,Low- to middle-income countries,2,272,402,172,278,5.307697,1.015649,0.913468,1.12926,0.0,2.891733,3.0,0.408621,0.0,0.287024,0.774094,subgroup:432699466135685116
20,4,High-income countries,1,12,261,4,266,11.776842,3.062241,1.001592,9.362409,0.0,0.0,0.0,1.0,0.0,1.962754,0.049675,subgroup:432699512960895546
20,4,Low- to middle-income countries,2,90,534,65,410,88.223158,1.079572,0.833574,1.398167,0.006081,1.15911,1.0,0.28165,13.726927,0.580298,0.561714,subgroup:432699516580842045
20,5,High-income countries,1,132,2488,86,1159,79.644918,0.935126,0.737763,1.185287,0.0,1.00596,3.0,0.79981,0.0,0.554556,0.579199,subgroup:432699585443711626
20,5,Low- to middle-income countries,2,54,228,19,105,20.355082,1.308864,0.818927,2.091916,0.0,0.0,0.0,1.0,0.0,1.125017,0.260582,subgroup:432699591342475916
21,1,High-income countries,1,14,59,4,15,41.853725,0.889831,0.342145,2.31422,0.0,0.0,0.0,1.0,0.0,0.239356,0.81083,subgroup:432699665538141037
21,1,Low- to middle-income countries,2,10,77,13,110,58.146275,1.147405,0.410429,3.207716,0.146319,1.209773,1.0,0.271377,17.339836,0.262147,0.793208,subgroup:432699669174078318
21,2,High-income countries,1,2,16,0,18,100.0,5.588235,0.288126,108.384467,0.0,0.0,0.0,1.0,0.0,1.137408,0.255368,subgroup:432699700063816567
21,3,High-income countries,1,18,75,5,33,100.0,1.138424,0.477654,2.71328,0.0,0.396726,1.0,0.528785,0.0,0.292568,0.769852,subgroup:432699709682928504
22,1,High-income countries,1,0,188,2,188,23.278828,0.2,0.009666,4.138047,0.0,0.0,0.0,1.0,0.0,1.041186,0.297789,subgroup:432765512824752985
22,1,Low- to middle-income countries,2,2,80,4,80,76.721172,0.5,0.094232,2.653029,0.0,0.0,0.0,1.0,0.0,0.81406,0.415611,subgroup:432765516980259674
22,2,High-income countries,1,27,188,21,188,100.0,1.285714,0.754336,2.191413,0.0,0.0,0.0,1.0,0.0,0.923739,0.355622,subgroup:432765544156728185
22,3,High-income countries,1,25,188,22,188,100.0,1.136364,0.664801,1.942418,0.0,0.0,0.0,1.0,0.0,0.467354,0.640246,subgroup:432765553040001917
23,1,High-income countries,1,1,794,3,793,100.0,0.617626,0.03041,12.54407,2.258339,1.914456,1.0,0.166469,47.765844,0.313654,0.753784,subgroup:432765586097671146
