Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality (at day 28),Fluvoxamine plus standard care compared to placebo plus standard care for outpatients with mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Fluvoxamine,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,17,821,25,828,0.693765,0.377807,1.273959,,,0.0,,,0.0,0,1.0,0.0,1.179111,,0.238354,,,,,analysis:461148936994761715
1,2,All-cause hospital admission or death (before hospital admission),Fluvoxamine plus standard care compared to placebo plus standard care for outpatients with mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Fluvoxamine,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,77,821,104,828,0.554435,0.162795,1.88825,,,0.490389,,,1.821286,1,0.17716,45.093735,0.94332,,0.345517,,,,,analysis:461148936995023862
1,3,Serious adverse events,Fluvoxamine plus standard care compared to placebo plus standard care for outpatients with mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Fluvoxamine,Standard care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,78,821,101,828,0.560284,0.154326,2.034129,,,0.556425,,,1.931768,1,0.164565,48.233945,0.880602,,0.378533,,,,,analysis:461148936995023865
1,4,Adverse events (any grade),Fluvoxamine plus standard care compared to placebo plus standard care for outpatients with mild COVID-19,Custom input,"#N/A",Dichotomous,true,,,,,,,Fluvoxamine,Standard care/placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,103,821,98,828,1.058304,0.815907,1.372716,,,0.0,,,0.923875,1,0.33646,0.0,0.426979,,0.669394,,,,,analysis:461148936995286012
